         4118159 function calls (4116165 primitive calls) in 9.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.518    8.518 /usr/local/lib/python2.7/site-packages/pyglet/app/__init__.py:135(run)
        1    0.000    0.000    8.518    8.518 /usr/local/lib/python2.7/site-packages/pyglet/app/base.py:119(run)
        1    0.031    0.031    8.518    8.518 /usr/local/lib/python2.7/site-packages/pyglet/app/base.py:153(_run_estimated)
     8908    0.053    0.000    5.769    0.001 /usr/local/lib/python2.7/site-packages/pyglet/app/base.py:248(idle)
      602    0.005    0.000    4.001    0.007 /usr/local/lib/python2.7/site-packages/pyglet/event.py:318(dispatch_event)
      585    0.003    0.000    3.989    0.007 /usr/local/lib/python2.7/site-packages/pyglet/window/__init__.py:1153(dispatch_event)
      463    0.001    0.000    3.973    0.009 main.py:381(on_draw)
      448    0.011    0.000    3.966    0.009 main.py:195(on_draw)
     4047    0.059    0.000    3.893    0.001 /usr/local/lib/python2.7/site-packages/pyglet/graphics/__init__.py:547(draw)
46568/46109    0.043    0.000    3.198    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:783(__call__)
46568/46109    1.770    0.000    3.155    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:749(__call__)
    34376    0.863    0.000    2.967    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexdomain.py:279(draw)
     8907    0.136    0.000    2.647    0.000 /usr/local/lib/python2.7/site-packages/pyglet/app/cocoa.py:111(step)
   769142    1.610    0.000    1.610    0.000 /usr/local/lib/python2.7/site-packages/pyglet/gl/lib.py:84(errcheck)
    36063    0.193    0.000    1.050    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:917(__new__)
      463    0.003    0.000    0.939    0.002 /usr/local/lib/python2.7/site-packages/pyglet/window/cocoa/__init__.py:286(flip)
      463    0.003    0.000    0.936    0.002 /usr/local/lib/python2.7/site-packages/pyglet/gl/cocoa.py:203(flip)
    54180    0.334    0.000    0.788    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:455(send_message)
     8908    0.035    0.000    0.672    0.000 /usr/local/lib/python2.7/site-packages/pyglet/clock.py:279(call_scheduled_functions)
      463    0.001    0.000    0.635    0.001 main.py:377(update)
      448    0.009    0.000    0.633    0.001 main.py:243(update)
   103128    0.184    0.000    0.628    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexbuffer.py:388(bind)
    34203    0.271    0.000    0.612    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:142(set_state)
      447    0.005    0.000    0.591    0.001 /Users/addisonschiller/acceptable_loss/utility.py:44(update)
   103128    0.202    0.000    0.414    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexbuffer.py:311(bind)
   103128    0.171    0.000    0.378    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexbuffer.py:314(unbind)
    35504    0.195    0.000    0.364    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:485(send_super)
    17440    0.039    0.000    0.302    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:1181(dealloc)
    34203    0.123    0.000    0.268    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:150(unset_state)
      566    0.004    0.000    0.268    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:184(__init__)
    18060    0.027    0.000    0.265    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:1174(initWithObject_)
    28767    0.156    0.000    0.240    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:392(_update_position)
      447    0.003    0.000    0.218    0.000 /Users/addisonschiller/acceptable_loss/utility.py:72(update_camera)
      447    0.010    0.000    0.215    0.000 /Users/addisonschiller/acceptable_loss/utility.py:105(move_all)
     2682    0.010    0.000    0.205    0.000 /Users/addisonschiller/acceptable_loss/character.py:91(update)
        1    0.001    0.001    0.204    0.204 main.py:442(__init__)
      566    0.001    0.000    0.179    0.000 /usr/local/lib/python2.7/site-packages/pyglet/image/__init__.py:813(get_texture)
      114    0.003    0.000    0.178    0.002 /usr/local/lib/python2.7/site-packages/pyglet/image/__init__.py:778(create_texture)
    34376    0.097    0.000    0.166    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexattribute.py:511(set_pointer)
        1    0.000    0.000    0.165    0.165 main.py:390(__init__)
    34376    0.093    0.000    0.162    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexattribute.py:387(set_pointer)
    34376    0.093    0.000    0.162    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexattribute.py:469(set_pointer)
      149    0.002    0.000    0.162    0.001 /usr/local/lib/python2.7/site-packages/pyglet/image/__init__.py:999(_convert)
      447    0.006    0.000    0.154    0.000 /Users/addisonschiller/acceptable_loss/levelgenerator.py:247(update)
    89710    0.112    0.000    0.151    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:406(get_selector)
      447    0.002    0.000    0.150    0.000 /Users/addisonschiller/acceptable_loss/levelgenerator.py:242(move_all)
       93    0.001    0.000    0.143    0.002 /usr/local/lib/python2.7/site-packages/pyglet/image/__init__.py:156(load)
       93    0.006    0.000    0.139    0.001 /usr/local/lib/python2.7/site-packages/pyglet/image/codecs/quartz.py:92(decode)
     5364    0.007    0.000    0.139    0.000 /Users/addisonschiller/acceptable_loss/levelgenerator.py:79(update)
     2235    0.017    0.000    0.136    0.000 /Users/addisonschiller/acceptable_loss/levelgenerator.py:115(move)
       93    0.119    0.001    0.133    0.001 /usr/local/lib/python2.7/site-packages/pyglet/image/codecs/quartz.py:56(_get_pyglet_ImageData_from_source_at_index)
     5479    0.010    0.000    0.132    0.000 /Users/addisonschiller/acceptable_loss/collide.py:81(collide)
    13831    0.012    0.000    0.132    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:457(_set_x)
        1    0.000    0.000    0.131    0.131 /Users/addisonschiller/acceptable_loss/importer.py:28(ready_level)
      143    0.007    0.000    0.125    0.001 /usr/local/lib/python2.7/site-packages/pyglet/image/__init__.py:894(blit_to_texture)
    34376    0.049    0.000    0.120    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexattribute.py:508(enable)
    34376    0.044    0.000    0.114    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexattribute.py:466(enable)
    34376    0.044    0.000    0.114    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexattribute.py:384(enable)
    13235    0.010    0.000    0.104    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:467(_set_y)
    28698    0.052    0.000    0.098    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:970(__getattr__)
       55    0.000    0.000    0.095    0.002 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/re.py:173(findall)
       92    0.001    0.000    0.093    0.001 /Users/addisonschiller/acceptable_loss/utility.py:180(load_image)
   189839    0.066    0.000    0.088    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:399(ensure_bytes)
      447    0.003    0.000    0.087    0.000 /Users/addisonschiller/acceptable_loss/player.py:120(update)
  177/160    0.001    0.000    0.083    0.001 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:1117(objc_method)
      566    0.004    0.000    0.082    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:376(_create_vertex_list)
    28915    0.033    0.000    0.081    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexdomain.py:618(_get_vertices)
      447    0.005    0.000    0.072    0.000 /Users/addisonschiller/acceptable_loss/player.py:108(check_target)
    10958    0.007    0.000    0.072    0.000 /Users/addisonschiller/acceptable_loss/collide.py:77(get_rect)
     8908    0.014    0.000    0.067    0.000 /usr/local/lib/python2.7/site-packages/pyglet/app/base.py:287(_get_has_exit)
     8907    0.028    0.000    0.067    0.000 /usr/local/lib/python2.7/site-packages/pyglet/app/base.py:61(dispatch_posted_events)
    17440    0.054    0.000    0.066    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:647(get_instance_variable)
    18060    0.057    0.000    0.065    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:643(set_instance_variable)
    35504    0.065    0.000    0.065    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:418(get_superclass_of_object)
     8907    0.017    0.000    0.065    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:576(set)
    10958    0.040    0.000    0.065    0.000 /Users/addisonschiller/acceptable_loss/collide.py:36(from_sprite)
   321688    0.064    0.000    0.064    0.000 {isinstance}
       35    0.000    0.000    0.062    0.002 /usr/local/lib/python2.7/site-packages/pyglet/window/cocoa/pyglet_textview.py:30(keyDown_)
        1    0.006    0.006    0.062    0.062 /Users/addisonschiller/acceptable_loss/effect.py:1(<module>)
      590    0.003    0.000    0.062    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/__init__.py:345(add)
        1    0.000    0.000    0.061    0.061 /Users/addisonschiller/acceptable_loss/player.py:14(__init__)
     8919    0.007    0.000    0.058    0.000 /usr/local/lib/python2.7/site-packages/pyglet/__init__.py:349(__getattr__)
        6    0.000    0.000    0.057    0.010 /Users/addisonschiller/acceptable_loss/character.py:15(__init__)
        1    0.016    0.016    0.056    0.056 /Users/addisonschiller/acceptable_loss/character.py:1(<module>)
      448    0.002    0.000    0.055    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:576(draw)
      447    0.005    0.000    0.054    0.000 /Users/addisonschiller/acceptable_loss/longbow.py:114(update)
    17870    0.028    0.000    0.054    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:894(__getattr__)
       74    0.001    0.000    0.054    0.001 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/re.py:230(_compile)
       30    0.000    0.000    0.053    0.002 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:567(compile)
      446    0.002    0.000    0.053    0.000 /Users/addisonschiller/acceptable_loss/player.py:77(build_target)
        1    0.000    0.000    0.051    0.051 /usr/local/lib/python2.7/site-packages/pyglet/window/__init__.py:416(__init__)
      114    0.046    0.000    0.051    0.000 /usr/local/lib/python2.7/site-packages/pyglet/image/__init__.py:1443(create)
        5    0.004    0.001    0.049    0.010 {__import__}
        1    0.000    0.000    0.048    0.048 /Users/addisonschiller/acceptable_loss/levelgenerator.py:224(add_enemies)
      112    0.000    0.000    0.048    0.000 /Users/addisonschiller/acceptable_loss/collide.py:54(get_image)
    18061    0.037    0.000    0.047    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:799(__new__)
        3    0.000    0.000    0.047    0.016 /usr/local/lib/python2.7/site-packages/pyglet/image/__init__.py:1175(get_data)
    30119    0.033    0.000    0.047    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexbuffer.py:466(invalidate)
        3    0.000    0.000    0.046    0.015 /usr/local/lib/python2.7/site-packages/pyglet/image/__init__.py:705(get_data)
        3    0.013    0.004    0.046    0.015 {method 'sub' of '_sre.SRE_Pattern' objects}
       55    0.044    0.001    0.044    0.001 {method 'findall' of '_sre.SRE_Pattern' objects}
       30    0.000    0.000    0.043    0.001 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:686(parse)
    51/30    0.000    0.000    0.043    0.001 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:310(_parse_sub)
    53/30    0.020    0.000    0.043    0.001 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:388(_parse)
        1    0.000    0.000    0.042    0.042 /Users/addisonschiller/acceptable_loss/longbow.py:33(__init__)
      448    0.001    0.000    0.041    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexdomain.py:358(draw)
     8907    0.010    0.000    0.041    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:400(notifyAll)
     8908    0.028    0.000    0.040    0.000 /usr/local/lib/python2.7/site-packages/pyglet/clock.py:254(update_time)
     8907    0.024    0.000    0.039    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/Queue.py:150(get)
        1    0.000    0.000    0.038    0.038 main.py:20(load_assets)
        1    0.000    0.000    0.038    0.038 main.py:124(__init__)
        6    0.000    0.000    0.038    0.006 /Users/addisonschiller/acceptable_loss/button.py:89(__init__)
        6    0.000    0.000    0.038    0.006 /Users/addisonschiller/acceptable_loss/button.py:30(__init__)
      590    0.003    0.000    0.037    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/__init__.py:432(_get_domain)
    18061    0.029    0.000    0.036    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:409(get_class)
    17820    0.016    0.000    0.034    0.000 /usr/local/lib/python2.7/site-packages/pyglet/app/__init__.py:103(__iter__)
        1    0.000    0.000    0.034    0.034 /usr/local/lib/python2.7/site-packages/pyglet/window/cocoa/__init__.py:119(_create)
    24625    0.009    0.000    0.034    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/re.py:290(filter)
     8909    0.023    0.000    0.032    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:147(acquire)
       14    0.000    0.000    0.031    0.002 /Users/addisonschiller/acceptable_loss/ability.py:84(update)
        8    0.000    0.000    0.030    0.004 /usr/local/lib/python2.7/site-packages/pyglet/text/__init__.py:378(__init__)
    36272    0.030    0.000    0.030    0.000 {hasattr}
      503    0.006    0.000    0.030    0.000 /Users/addisonschiller/acceptable_loss/player.py:95(move)
        1    0.000    0.000    0.030    0.030 /Users/addisonschiller/acceptable_loss/longbow.py:26(delete_thrown)
        1    0.004    0.004    0.030    0.030 /usr/local/lib/python2.7/site-packages/pyglet/image/__init__.py:129(<module>)
     8908    0.014    0.000    0.029    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:373(notify)
       24    0.000    0.000    0.029    0.001 /usr/local/lib/python2.7/site-packages/pyglet/text/layout.py:896(_update)
      118    0.000    0.000    0.029    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexdomain.py:125(create_domain)
        5    0.000    0.000    0.028    0.006 /Users/addisonschiller/acceptable_loss/enemy.py:49(enemy_soldier_base)
       16    0.000    0.000    0.027    0.002 /usr/local/lib/python2.7/site-packages/pyglet/text/layout.py:976(_init_document)
     2235    0.003    0.000    0.026    0.000 /Users/addisonschiller/acceptable_loss/controller.py:61(update)
    44537    0.026    0.000    0.026    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.001    0.001    0.025    0.025 /usr/local/lib/python2.7/site-packages/pyglet/image/codecs/__init__.py:174(add_default_image_codecs)
    24625    0.021    0.000    0.025    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:802(expand_template)
      118    0.002    0.000    0.025    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexdomain.py:158(__init__)
    54180    0.024    0.000    0.024    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:426(x86_should_use_stret)
       10    0.000    0.000    0.023    0.002 /Users/addisonschiller/acceptable_loss/enemy.py:28(gen_soldier_gun)
       24    0.000    0.000    0.023    0.001 /usr/local/lib/python2.7/site-packages/pyglet/text/layout.py:885(_get_lines)
        1    0.000    0.000    0.023    0.023 /Users/addisonschiller/acceptable_loss/longbow.py:16(aoe)
     8907    0.015    0.000    0.022    0.000 /usr/local/lib/python2.7/site-packages/pyglet/clock.py:402(get_sleep_time)
   186804    0.022    0.000    0.022    0.000 {method 'get' of 'dict' objects}
     8909    0.017    0.000    0.022    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:187(release)
      354    0.002    0.000    0.022    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexbuffer.py:92(create_mappable_buffer)
        1    0.000    0.000    0.021    0.021 /Users/addisonschiller/acceptable_loss/menu.py:103(__init__)
       24    0.000    0.000    0.020    0.001 /usr/local/lib/python2.7/site-packages/pyglet/text/layout.py:1006(_get_glyphs)
     8907    0.012    0.000    0.020    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:590(clear)
       35    0.000    0.000    0.020    0.001 /Users/addisonschiller/acceptable_loss/effect.py:9(__init__)
    28698    0.019    0.000    0.019    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:860(get_instance_method)
